property_id,url,source,scrape_date,posting_date,html_path,property_type,category,transaction_type,new_construction,price,price_per_sqm,vat,cadastral_income,street,house_number,postal_code,locality,province,region,latitude,longitude,bedrooms,bedroom_surfaces,livable_surface,living_room_surface,kitchen_surface,kitchen_equipment,bathrooms,showers,toilets,build_year,currently_leased,furnished,heating_type,glazing_type,heat_pump,solar_panels,air_conditioning,primary_energy_consumption,epc,electrical_certificate,facades,facade_orientation,garden,garden_surface,garden_orientation,terrace,terrace_surface,balcony,garage,garages,indoor_parking,outdoor_parking,cellar,swimming_pool,elevator,running_water,flooding_area_type,demarcated_flooding_area,flood_g_score,flood_p_score,availability,building_state,land_surface,ground_depth,terrain_width,number_of_floors,apartment_floor,maintenance_cost,co_ownership_charges,nearest_city,nearest_city_distance_km
rbw02339,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw02339,ImmoVlan,2026-06-15,2026-05-27,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw02339.html,flat,apartment,for-rent,0,3200,23.19,,,Avenue Louise,541,1000,Brussels,Brussels,Brussels,50.8149715,4.3709719,2,20;15,138,,,Super equipped,2,,2,1950,,1,,,,,,158,D,0,2,,1,,,1,21,,1,,,1,1,0,1,1,,,,,Immediately,Excellent,,,,4,0,500,,Brussels,3.83
rbw03103,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw03103,ImmoVlan,2026-06-15,2026-05-28,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw03103.html,flat,apartment,for-rent,0,1550,15.05,,,Rue Antoine Dansaert,18,1000,Brussels,Brussels,Brussels,50.8492035,4.3472701,2,,103,,,Super equipped,1,1,1,1892,,0,Gas,,,,,203,D,0,2,,0,,,1,3,,,,,,,0,1,,,,,,Immediately,Excellent,,,,5,3,200,,Brussels,0.33
rbw03895,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw03895,ImmoVlan,2026-06-15,2026-05-29,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw03895.html,flat,apartment,for-rent,0,2250,15.1,,,Rue Bodenbroek,22,1000,Brussels,Brussels,Brussels,50.8407474,4.3568961,2,16;11,149,60,14,Super equipped,2,,2,,,0,Gas,Double glass,,,,169,D,0,,,0,,,1,41,,1,,1,,1,0,1,1,,,,,Immediately,Excellent,,,,3,2,,,Brussels,0.82
rbw08766,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw08766,ImmoVlan,2026-06-15,2026-06-01,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw08766.html,flat,apartment,for-rent,0,1700,45.95,,,Quai à la Houille,,1000,Brussels,Brussels,Brussels,50.854353,4.3472459,,,37,,,,,,,,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,5,,,Brussels,0.87
rbw08767,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw08767,ImmoVlan,2026-06-15,2026-06-01,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw08767.html,flat,apartment,for-rent,0,2218,36.36,,,Boulevard du Régent,,1000,Brussels,Brussels,Brussels,50.8406176,4.3652808,,,61,,,,,,,,0,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,4,,,Brussels,1.27
rbw08768,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw08768,ImmoVlan,2026-06-15,2026-06-01,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw08768.html,flat,apartment,for-rent,0,2036,25.77,,,Boulevard du Régent,,1000,Brussels,Brussels,Brussels,50.8485234,4.3687595,,,79,,,,,,,,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,7,,,Brussels,1.34
rbw08769,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw08769,ImmoVlan,2026-06-15,2026-06-01,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw08769.html,flat,apartment,for-rent,0,1500,51.72,,,Quai à la Houille,,1000,Brussels,Brussels,Brussels,50.854353,4.3472459,,,29,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,4,,,Brussels,0.87
rbw08770,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw08770,ImmoVlan,2026-06-15,2026-06-01,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw08770.html,flat,apartment,for-rent,0,1900,35.85,,,Quai à la Houille,,1000,Brussels,Brussels,Brussels,50.854353,4.3472459,,,53,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,6,,,Brussels,0.87
rbw08771,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw08771,ImmoVlan,2026-06-15,2026-06-01,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw08771.html,flat,apartment,for-rent,0,1700,45.95,,,Quai à la Houille,,1000,Brussels,Brussels,Brussels,50.854353,4.3472459,,,37,,,,,,,,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,5,,,Brussels,0.87
rbw08776,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw08776,ImmoVlan,2026-06-15,2026-06-01,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw08776.html,flat,apartment,for-rent,0,1600,55.17,,,Quai à la Houille,,1000,Brussels,Brussels,Brussels,50.854353,4.3472459,,,29,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,2,,,Brussels,0.87
